Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,115.550003,116.000000,115.339996,115.440002,101.032066,2250800
2017-07-05,115.500000,115.550003,114.879997,115.300003,100.909531,4023100
2017-07-06,114.970001,115.419998,114.849998,115.129997,100.760742,4007000
2017-07-07,115.410004,115.660004,114.830002,115.510002,101.093323,3972500
2017-07-10,115.919998,116.000000,114.199997,114.269997,100.008087,5771200
2017-07-11,113.339996,113.980003,112.250000,113.739998,99.544228,6368500
2017-07-12,114.489998,114.980003,114.279999,114.769997,100.445686,3885200
2017-07-13,114.949997,115.040001,113.919998,114.019997,99.789291,3089400
2017-07-14,114.260002,115.120003,114.250000,114.930000,100.585716,2956400
2017-07-17,114.940002,115.160004,114.839996,114.930000,100.585716,2481300
2017-07-18,114.849998,115.150002,114.389999,115.010002,100.655731,2694800
2017-07-19,115.010002,115.349998,114.629997,115.339996,100.944527,2578200
2017-07-20,115.339996,116.059998,115.110001,115.510002,101.093323,3518100
2017-07-21,115.779999,116.669998,115.379997,116.629997,102.073540,3476400
2017-07-24,116.500000,116.669998,116.089996,116.129997,101.635948,3681300
2017-07-25,116.629997,116.779999,116.139999,116.449997,101.916008,3075100
2017-07-26,116.300003,117.419998,116.150002,117.190002,102.563652,3305600
2017-07-27,117.330002,118.059998,116.620003,117.339996,102.694923,2954800
2017-07-28,117.309998,117.470001,116.199997,116.610001,102.056038,3276300
2017-07-31,116.529999,116.860001,116.180000,116.610001,102.056038,3098600
2017-08-01,116.690002,116.779999,115.900002,115.919998,101.452156,2946100
2017-08-02,115.730003,115.980003,115.139999,115.610001,101.180840,2626400
2017-08-03,115.730003,116.660004,115.680000,116.300003,101.784714,2986200
2017-08-04,116.320000,116.489998,115.870003,116.370003,101.846001,2955200
2017-08-07,116.449997,117.220001,116.379997,116.959999,102.362335,2569600
2017-08-08,116.800003,116.949997,116.370003,116.709999,102.143539,2412600
2017-08-09,116.489998,116.699997,115.959999,116.629997,102.073540,2513800
2017-08-10,116.349998,116.839996,116.080002,116.379997,101.854736,2236000
2017-08-11,116.750000,117.250000,116.349998,116.510002,101.968529,2759700
2017-08-14,117.360001,118.180000,117.010002,117.839996,103.132507,3191700
2017-08-15,117.879997,119.150002,117.849998,118.970001,104.121483,2749800
2017-08-16,118.959999,119.360001,118.820000,119.099998,104.235260,2373900
2017-08-17,119.000000,119.389999,118.250000,118.389999,103.613876,3096900
2017-08-18,118.290001,118.430000,117.400002,117.599998,102.922478,3776500
2017-08-21,117.800003,118.459999,117.550003,118.260002,103.500099,2119500
2017-08-22,118.250000,118.699997,117.650002,117.919998,103.202515,2313700
2017-08-23,117.900002,118.120003,117.230003,117.290001,102.651161,2616300
2017-08-24,117.260002,117.300003,116.029999,116.220001,101.714706,4760000
2017-08-25,116.739998,116.900002,115.800003,115.849998,101.390884,3442500
2017-08-28,116.120003,116.290001,115.080002,115.540001,101.119576,2932700
2017-08-29,115.550003,116.099998,115.510002,115.839996,101.382149,2348700
2017-08-30,115.129997,115.419998,114.910004,115.150002,101.483482,2491800
2017-08-31,115.239998,115.839996,114.930000,115.730003,101.994637,4709500
2017-09-01,115.379997,116.089996,115.150002,115.839996,102.091599,2591900
2017-09-05,115.949997,116.059998,115.410004,115.870003,102.118042,2711400
2017-09-06,116.169998,116.470001,115.639999,116.349998,102.541046,2617500
2017-09-07,116.650002,117.290001,116.389999,116.989998,103.105095,2623800
2017-09-08,116.400002,116.480003,114.570000,115.040001,101.386543,4818300
2017-09-11,115.080002,115.889999,114.760002,115.690002,101.959389,3247900
2017-09-12,115.690002,115.949997,114.860001,115.000000,101.351280,2998500
2017-09-13,114.870003,115.169998,114.000000,114.449997,100.866547,5141500
2017-09-14,114.440002,114.550003,113.699997,114.190002,100.637413,3456900
2017-09-15,114.739998,114.980003,114.110001,114.849998,101.219086,5543000
2017-09-18,115.169998,115.230003,114.680000,114.989998,101.342491,2441200
2017-09-19,115.059998,115.120003,114.360001,114.489998,100.901810,2568300
2017-09-20,114.339996,114.650002,112.739998,113.580002,100.099815,4059800
2017-09-21,113.209999,113.820000,112.540001,112.800003,99.412399,3630900
2017-09-22,112.559998,112.870003,111.809998,111.849998,98.575157,3746300
2017-09-25,112.040001,112.139999,111.419998,111.940002,98.654465,3885000
2017-09-26,112.230003,112.300003,111.730003,111.809998,98.539894,2953800
2017-09-27,111.720001,111.879997,110.339996,111.099998,97.914154,4016200
2017-09-28,111.370003,112.730003,111.190002,111.639999,98.390068,11581100
2017-09-29,111.870003,112.029999,111.209999,111.430000,98.205002,5122300
2017-10-02,109.910004,110.519997,108.959999,109.120003,96.169159,8306400
2017-10-03,109.419998,109.650002,108.889999,109.129997,96.177956,6064400
2017-10-04,106.940002,110.160004,106.190002,109.339996,96.363029,9092400
2017-10-05,109.660004,110.989998,109.550003,110.449997,97.341293,5670400
2017-10-06,110.169998,110.669998,109.919998,110.400002,97.297249,3240300
2017-10-09,110.589996,110.930000,109.790001,110.010002,96.953522,1977800
2017-10-10,110.279999,110.860001,110.279999,110.779999,97.632149,3032300
2017-10-11,110.900002,111.809998,110.769997,111.510002,98.275490,4051100
2017-10-12,111.510002,112.510002,111.379997,112.449997,99.103920,3287200
2017-10-13,112.730003,112.980003,112.180000,112.620003,99.253769,3090500
2017-10-16,112.930000,113.629997,112.690002,113.570000,100.091011,2675900
2017-10-17,113.220001,113.559998,111.660004,112.190002,98.874802,3825200
2017-10-18,111.949997,112.440002,111.779999,111.949997,98.663277,2590500
2017-10-19,111.620003,112.790001,111.599998,112.669998,99.297813,2673700
2017-10-20,113.010002,113.019997,111.379997,111.610001,98.363617,3772300
2017-10-23,111.639999,112.449997,111.400002,111.690002,98.434143,2263200
2017-10-24,111.839996,111.870003,110.279999,110.750000,97.605690,3351100
2017-10-25,110.430000,110.529999,109.180000,110.070000,97.006393,3836900
2017-10-26,110.669998,111.239998,110.410004,110.730003,97.588066,2865000
2017-10-27,110.410004,110.849998,109.930000,110.599998,97.473480,3343200
2017-10-30,110.360001,110.370003,109.360001,109.650002,96.636246,2206100
2017-10-31,110.239998,110.769997,109.949997,110.230003,97.147400,4379400
2017-11-01,109.760002,110.680000,109.610001,110.129997,97.059280,2822400
2017-11-02,109.910004,110.180000,109.540001,110.050003,96.988785,2169800
2017-11-03,110.139999,110.650002,110.000000,110.220001,97.138588,1725700
2017-11-06,109.970001,110.000000,109.190002,109.260002,96.292526,3331800
2017-11-07,109.150002,110.580002,109.150002,110.470001,97.358948,3882000
2017-11-08,110.570000,112.040001,110.500000,112.000000,98.707352,3685300
2017-11-09,111.349998,112.440002,111.019997,111.480003,98.249069,2856900
